City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,olinda,-8.0089,-34.8553,28.85,58,40,8.23,BR,1724947581
173,gobabis,-22.45,18.9667,25.89,11,0,2.63,NA,1724947582
174,port alfred,-33.5906,26.891,12.88,72,25,0.89,ZA,1724947583
175,tregunc,47.85,-3.85,21.33,59,84,3.83,FR,1724947585
176,kuala terengganu,5.3302,103.1408,27.97,89,20,1.03,MY,1724947586
177,san borja,-14.8167,-66.85,36.15,23,0,2.67,BO,1724947587
178,dzuunharaa,48.8523,106.4579,11.58,72,8,1.15,MN,1724947588
179,kasane,-17.8167,25.15,34.05,8,0,1.54,BW,1724947590
180,mancora,-4.1078,-81.0475,24.47,62,3,3.5,PE,1724947591
181,savanna-la-mar,18.219,-78.1332,32.18,54,9,1.67,JM,1724947592
182,hithadhoo,-0.6,73.0833,28.67,76,43,6.55,MV,1724947593
183,letterkenny,54.95,-7.7333,14.71,66,42,5.36,IE,1724947594
184,port lincoln,-34.7333,135.8667,15.69,61,100,9.49,AU,1724947372
185,cabedelo,-6.9811,-34.8339,29.37,67,28,9.73,BR,1724947342
186,south hedland,-20.4089,118.5983,21.96,83,5,2.06,AU,1724947597
187,utrik,11.2278,169.8474,28.38,78,23,6.05,MH,1724947598
188,kone,-21.0595,164.8658,16.33,89,0,1.8,NC,1724947599
189,marsh harbour,26.5412,-77.0636,29.03,71,76,6.19,BS,1724947601
190,suhut,38.5311,30.5458,25.64,27,45,7.01,TR,1724947602
191,kalmunai,7.4167,81.8167,28.38,72,100,4.57,LK,1724947605
192,tolga,34.7222,5.3785,36.23,24,0,3.27,DZ,1724947606
193,east falmouth,41.5784,-70.5586,23.05,64,0,7.72,US,1724947607
194,bilokurakyne,49.5341,38.7307,27.96,16,69,4.16,UA,1724947608
195,papao,-17.75,-149.55,24.82,79,48,2.02,PF,1724947609
196,santanyi,39.3546,3.1291,26.67,63,81,4.74,ES,1724947610
197,duba,27.3513,35.6901,32.12,60,1,4.71,SA,1724947611
198,castro alves,-12.7656,-39.4283,26.25,59,77,7.27,BR,1724947612
199,brandon,27.9378,-82.2859,33.44,74,75,3.6,US,1724947333
200,samba,32.5667,75.1167,25.7,84,82,0.89,IN,1724947614
201,puerto bolivar,-3.2667,-79.9833,25.0,73,75,2.57,EC,1724947615
202,kaffrine,14.1059,-15.5508,27.59,83,100,5.31,SN,1724947616
203,benton,36.3334,-94.3335,32.09,61,75,2.06,US,1724947617
204,diego de almagro,-26.3667,-70.05,15.39,35,19,3.96,CL,1724947619
205,novo aripuana,-5.1206,-60.3797,39.67,22,28,1.09,BR,1724947504
206,verkhnevilyuysk,63.4453,120.3167,6.15,81,97,1.74,RU,1724947621
207,iskateley,67.6803,53.1512,7.26,84,91,5.07,RU,1724947622
208,uturoa,-16.7333,-151.4333,26.11,82,10,4.65,PF,1724947623
209,tiverton,50.9,-3.4833,20.22,54,98,2.24,GB,1724947624
210,ouddorp,51.8117,3.9347,21.1,61,36,3.36,NL,1724947625
211,melfort,52.8667,-104.6177,16.56,60,29,5.65,CA,1724947626
212,shaowu,27.3409,117.4831,24.54,92,62,0.45,CN,1724947627
213,ebebiyin,2.1511,11.3353,22.68,93,80,2.32,GQ,1724947628
214,kabansk,52.0486,106.6528,11.7,81,5,2.08,RU,1724947629
215,vorkuta,67.5,64.0,7.29,78,100,5.68,RU,1724947630
216,new norfolk,-42.7826,147.0587,11.07,93,100,4.55,AU,1724947631
217,livingston,55.9029,-3.5226,15.49,70,40,6.69,GB,1724947633
218,mizdah,31.4451,12.9801,32.65,31,1,5.66,LY,1724947634
219,wailua homesteads,22.0669,-159.378,25.44,90,75,4.12,US,1724947635
220,tazacorte,28.629,-17.9293,25.54,78,20,3.6,ES,1724947636
221,galeana,24.8333,-100.0667,22.28,62,4,1.04,MX,1724947637
222,carnarvon,-24.8667,113.6333,19.32,74,64,7.64,AU,1724947638
223,anadyr,64.75,177.4833,6.28,100,100,2.0,RU,1724947639
224,santa ana de yacuma,-13.75,-65.4333,33.97,33,8,4.12,BO,1724947640
225,nuuk,64.1835,-51.7216,6.34,93,75,4.63,GL,1724947641
226,velizh,55.6056,31.1967,22.6,75,86,1.36,RU,1724947642
227,nuku'alofa,-21.1333,-175.2,21.19,88,20,2.57,TO,1724947644
228,tongchuanshi,35.0806,109.0897,22.27,82,32,2.93,CN,1724947645
229,novovorontsovka,47.5004,33.9175,28.25,42,99,3.0,UA,1724947646
230,colonia,50.9333,6.95,29.98,47,0,6.17,DE,1724947593
231,la ronge,55.1001,-105.2842,15.14,88,100,1.54,CA,1724947393
232,tolbazy,54.0241,55.8825,16.49,73,46,1.44,RU,1724947649
233,goba,7.0167,39.9833,12.08,89,64,1.34,ET,1724947650
234,tsimasham,27.0989,89.536,12.84,91,16,2.24,BT,1724947651
235,xingcheng,40.6167,120.7167,21.57,92,1,4.34,CN,1724947652
236,enewetak,11.3474,162.3373,28.35,76,86,2.72,MH,1724947653
